Name,Price,Ratting
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹12,090",4.3
SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,"₹20,290",4.4
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,190",4.5
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹23,090",4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990",4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990",4.5
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator,"₹15,790",4.3
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹13,790",4.3
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹12,190",4.3
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹14,690",4.4
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,090",4.3
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,290",4.3
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,290",4.3
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹17,490",4.4
SAMSUNG 275 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,790",4.3
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator,"₹15,090",4.3
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹13,390",4.4
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹13,790",4.3
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,990",4.3
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹14,690",4.5
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹24,690",4.3
CANDY 170 L Direct Cool Single Door 2 Star Refrigerator,"₹9,390",4.3
